PI,Phenotype
PI_548348,1
PI_407716,NA
PI_89138,1
Cu_Dou,NA
PI_417398,2
Hei_He_Xiao_Huang_Dou,NA
PI_594451,NA
PI_243541,2
Hei_Wa_Shi_Dou,NA
Bai_Lu_Dou,NA
PI_548362,1
Jin_Da_No_70,NA
PI_591432,2
PI_591495,1
Jiu_Nong_No_30,NA
Liao_Dou_No_15,NA
PI_548634,1
Jin_Da_No_62,NA
PI_547459,NA
Su_Nong_No_25,NA
PI_547409,NA
PI_553047,2
PI_547562,1
He_Dou_No_13,NA
Zhong_Huang_No_14,NA
PI_591433,2
Gui_Chun_No_8,NA
PI_533655,1
Dong_Nong_No_26,NA
Jin_Da_No_75,NA
PI_548638,1
PI_547460,1
Shen_Li_No_3,NA
Jin_Da_No_26,NA
PI_518750,1
Chang_Nong_No_13,NA
PI_548540,1
Liao_Dou_No_17,NA
PI_540552,2
PI_547686,1
PI_548644,1
PI_547488,2
He_Feng_No_25,NA
PI_548311,1
Jin_Da_No_73,NA
PI_591435,1
Zhong_Huang_No_50,NA
Nan_Nong_Cai_Dou_No_1,NA
PI_548512,1
PI_547690,1
PI_548182,NA
PI_515961,1
PI_548190,NA
PI_548643,1
Zhong_Huang_No_38,NA
Beijing-IGDB-1,NA
Zhong_Huang_No_13,NA
Chang_Nong_No_16,NA
PI_548631,1
PI_547779,2
Hei_Nong_No_51,NA
Lu_Dou_No_11,NA
Tai_Wan_No_1,NA
Ji_Yu_No_90,NA
Fen_Dou_No_65,NA
PI_548565,2
Fen_Dou_No_78,NA
PI_548603,1
PI_508266,2
Sheng_Dou_No_9,NA
Zhong_Huang_No_40,NA
PI_547716,1
PI_546044,2
Zhong_Huang_No_35,NA
Harbin_91-6065,NA
Chang_Nong_No_15,NA
Jilin_21,NA
Liao_Dou_No_21,NA
PI_548573,1
Fen_Dou_No_85,NA
PI_548604,2
Hei_He_No_1,NA
PI_533602,2
Xi_Zang_Da_Dou_No_20,NA
Cang_Dou-11,NA
Liao_Dou_No_11,NA
PI_536635,2
Dong_Nong_No_52,NA
Fen_Dou_No_86,NA
PI_508083,1
PI_591541,2
Su_Nong_No_10,NA
PI_548593,1
Wei_No_6823,NA
Su_Nong_No_33,NA
PI_634883,NA
Fen_Dou_No_79,NA
Jin_Da_No_52,NA
He_Feng_No_23,NA
PI_591511,1
Fen_Dou_No_88,NA
PI_513382,1
Liao_Dou_No_3,NA
FC_33243,1
PI_548985,2
PI_548477,2
Su_Nong_No_14,NA
PI_547680,1
Zhong_Huang_No_31,NA
PI_591431,2
Dong_Nong_No_51,NA
Shu_Xian_No_205,NA
Fen_Dou_No_89,NA
PI_542403,1
Fen_Dou_No_63,NA
Tie_Feng_No_22,NA
HN001_PI518664,2
HN005_PI404166,1
HN006_PI407788A,2
HN007_PI424298,1
HN008_PI437655,1
HN009_PI495017C,1
HN010_PI468915,1
HN011_PI507354,2
HN012_PI567305,1
HN013_S05-11482,NA
HN014_PI548667,2
HN016_PI567387,1
HN017B_PI437725,NA
HN018_PI437690,NA
HN022_PI404198B,1
HN023_PI424608A,1
HN025_PI567516C,1
HN026_PI612611,1
HN027_S10-11227,NA
HN028_Holladay,NA
HN029_IA3023,NA
HN030_Maverick,NA
HN031_PI079691_4,NA
HN032_PI086006,NA
HN033_PI087617,NA
HN034_PI087631_1,NA
HN035_PI196175,2
HN036_PI200471,2
HN037_PI200508,2
HN038_PI248515,2
HN039_PI366121,NA
HN040_PI378702,NA
HN041_PI398593,2
HN042_PI398595,2
HN043_PI398610,2
HN044_PI398614,2
HN045_PI407162,NA
HN046_PI407184,NA
HN047_PI407729,1
HN048_PI407965,1
HN049_PI408105A,2
HN050_PI416937,2
HN052_PI424079,NA
HN053_PI424088,NA
HN054_PI437169B,1
HN056_PI437863A,1
HN057_PI438258,1
HN058_PI458515,NA
HN059_PI464920B,2
HN060_PI467312,1
HN061_PI471938,2
HN062_PI475783B,1
HN063_PI483463,NA
HN064_PI518751,1
HN065_PI542044,1
HN066_PI547862,1
HN067_PI548317,1
HN068_PI548349,1
HN069_PI548415,1
HN070_PI548511,1
HN071_PI548657,2
HN072_PI549031,1
HN073_PI552538,1
HN074_PI561271,1
HN075_PI567230,1
HN076_PI567336B,1
HN078_PI567354,1
HN079_PI567357,1
HN081_PI567519,1
HN082_PI567611,1
HN083_PI567651,NA
HN084_PI567690,NA
HN085_PI567719,1
HN086_PI567731,NA
HN087_PI591539,1
HN088_PI593258,1
HN089_PI594012,2
HN090_PI594512A,2
HN091_PI594599,NA
HN092_PI597387,1
HN093_PI603154,2
HN094_PI603170,2
HN095_PI603175,2
HN096_PI603176A,1
HN098_PI605869A,1
HN099_PI639740,NA
HN100_PI647086,NA
HN101_PI658519,NA
HN102_S07-5049,NA
HN103_V71-370,NA
HN104_FC031721,NA
HN105_PI438471,2
HN106_PI417091,1
HN107_PI417015,2
HN108_PI229343,2
SJ-01_PI378684A,NA
SJ-02_PI378696A,NA
SJ-03_PI378698,NA
SJ-04_PI407083,NA
SJ-05_PI407270,NA
SJ-06_PI407281,NA
SJ-07_PI407286,NA
SJ-08_PI407303,NA
SJ-09_PI407307,NA
SJ-10_PI407308,NA
SJ-11_PI407315,NA
SJ-12_PI424008A,NA
SJ-13_PI468918,NA
SJ-14_PI507609,NA
SJ-15_PI507619B,NA
SJ-16_PI507667,NA
SJ-17_PI507752,1
SJ-18_PI507830B,1
SJ-19_PI532450,1
SJ-20_PI549047,1
SJ-21_PI549048,1
SJ-22_PI562558,NA
SJ-23_PI562568,NA
SJ-24_PI597458B,NA
SJ-26_PI597471D,NA
SJ-27_PI639586,NA
SJ-28_PI639590A,NA
SJ-29_PI639590B,NA
SJ-30_PI639621,NA
SJ-31_PI507847,1
SJ-32_PI424014,NA
SJ-33_PI424107A,NA
SJ-34_PI407175,NA
SJ-36_PI507615,NA
SJ-37_PI562557,NA
SJ-38_PI378699A,NA
SJ-39_PI407262,NA
SJ-40_PI562534,NA
SJ-41_PI407183,NA
SJ-42_PI407038,NA
SJ-43_PI407318A,NA
SJ-44_PI407229,NA
SJ-45_PI507638,NA
USB-001_PI548656,2
USB-002_FC033243,NA
USB-003_PI081785,NA
USB-004_PI166105,1
USB-005_PI180501,1
USB-006_PI240664,NA
USB-007_PI266806C,1
USB-009_PI360957,2
USB-010_PI361087,2
USB-011_PI361093,1
USB-012_PI437265D,1
USB-013_PI438335,1
USB-014_PI468908,1
USB-015_PI497964A,NA
USB-016_PI506862,2
USB-017_PI507180,2
USB-018_PI518668,1
USB-020_PI603458A,2
USB-021_PI548171,1
USB-022_PI548193,1
USB-023_PI548313,1
USB-024_PI548325,1
USB-025_PI548360,1
USB-026_PI548364,1
USB-027_PI548402,2
USB-028_PI548447,2
USB-029_PI548452,1
USB-031_PI548490,1
USB-032_PI548520,1
USB-033_PI548561,1
USB-035_PI549018,1
USB-036_PI549026,2
USB-037_PI549041A,1
USB-038_PI559932,2
USB-039_PI567171,1
USB-040_PI567426,1
USB-041_PI567558,1
USB-042_PI567604A,2
USB-043_PI578309,1
USB-044_PI578495,1
USB-045_PI592523,1
USB-046_PI592954,2
USB-047_PI594307,1
USB-048_PI597476,2
USB-049_PI603426G,NA
USB-050_PI603442,1
USB-052_PI088788,NA
USB-053_PI089772,NA
USB-054_PI090763,NA
USB-055_PI209332,1
USB-057_PI548316,1
USB-058_PI548658,2
USB-059_FC029333,NA
USB-060_FC031697,NA
USB-061_PI054591,NA
USB-062_PI054608_1,NA
USB-063_PI054614,NA
USB-064_PI054615_1,NA
USB-065_PI058955,NA
USB-066_PI062203,NA
USB-067_PI068521_1,NA
USB-068_PI068604_1,NA
USB-069_PI068732_1,NA
USB-070_PI070080,NA
USB-071_PI070466_3,NA
USB-072_PI071465,NA
USB-073_PI080837,NA
USB-074_PI081041,NA
USB-075_PI083881,NA
USB-076_PI083942,NA
USB-077_PI084631,NA
USB-078_PI084637,NA
USB-079_PI084656,NA
USB-080_PI084946_2,NA
USB-081_PI084973,NA
USB-084_PI086904,NA
USB-085_PI086972_2,NA
USB-086_PI087620,NA
USB-087_PI088313,NA
USB-088_PI088468,NA
USB-089_PI089005_5,NA
USB-090_PI089775,NA
USB-091_PI090479P,NA
USB-093_PI091100_3,NA
USB-094_PI091159_4,NA
USB-095_PI091160,NA
USB-096_PI092651,NA
USB-097_PI094159_3,NA
USB-098_PI095860,NA
USB-100_PI103088,2
USB-101_PI123440,1
USB-102_PI153231,1
USB-104_PI154189,NA
USB-106_PI159925,1
USB-107_PI165563,1
USB-108_PI165675,2
USB-109_PI171428,1
USB-110_PI171451,2
USB-112_PI179935,1
USB-113_PI189873,1
USB-115_PI209333,1
USB-116_PI209334,2
USB-117_PI232992,2
USB-119_PI253661B,1
USB-120_PI261272C,NA
USB-121_PI274453,NA
USB-122_PI291294,1
USB-123_PI291309D,1
USB-124_PI291310C,1
USB-125_PI297505,1
USB-126_PI297520,NA
USB-127_PI324924,1
USB-128_PI342434,2
USB-129_PI342619A,1
USB-131_PI361066B,1
USB-132_PI361070,1
USB-133_PI361080,1
USB-134_PI372403B,1
USB-135_PI372418,2
USB-136_PI374207,NA
USB-139_PI378658,1
USB-140_PI378663,1
USB-141_PI378680E,1
USB-143_PI379618,2
USB-144_PI391577,1
USB-145_PI391583,NA
USB-146_PI398633,1
USB-147_PI398965,1
USB-148_PI404187,1
USB-149_PI407701,1
USB-150_PI407708A,NA
USB-151_PI407742,2
USB-152_PI416751,1
USB-153_PI416838,2
USB-154_PI417215,2
USB-155_PI417242,1
USB-156_PI417345B,1
USB-157_PI417381,1
USB-158_PI417479,2
USB-159_PI417500,1
USB-160_PI417529,1
USB-161_PI417581,1
USB-162_PI423926,NA
USB-163_PI424038B,NA
USB-164_PI424078,1
USB-166_PI424195A,1
USB-167_PI430595,2
USB-168_PI436684,2
USB-169_PI437110A,1
USB-170_PI437112A,1
USB-171_PI437127A,1
USB-173_PI437160,1
USB-174_PI437165A,1
USB-175_PI437240,2
USB-177_PI437376A,1
USB-178_PI437485,1
USB-179_PI437500A,1
USB-180_PI437505,1
USB-182_PI437662,1
USB-183_PI437685D,2
USB-184_PI437695A,NA
USB-185_PI437776,NA
USB-186_PI437788A,1
USB-187_PI437793,NA
USB-188_PI437814A,NA
USB-189_PI437838,1
USB-192_PI437991B,1
USB-193_PI438019B,1
USB-195_PI438083,1
USB-196_PI438112B,1
USB-198_PI438230A,1
USB-199_PI438239B,1
USB-201_PI438309,NA
USB-202_PI438323,1
USB-203_PI438336,2
USB-204_PI438347,1
USB-206_PI438496B,1
USB-207_PI438496C,1
USB-208_PI438500,1
USB-209_PI445824A,1
USB-210_PI458505,1
USB-212_PI458510,2
USB-213_PI464896,2
USB-214_PI464912,2
USB-215_PI464923,NA
USB-216_PI467347,1
USB-217_PI468408B,1
USB-218_PI475820,1
USB-220_PI476352B,2
USB-221_PI479735,1
USB-222_PI490766,2
USB-223_PI495020,1
USB-224_PI497953,NA
USB-226_PI497967,1
USB-227_PI504288,1
USB-228_PI506933,NA
USB-229_PI506942,2
USB-230_PI507017,1
USB-232_PI507088,2
USB-233_PI507293B,2
USB-234_PI507458,2
USB-235_PI507467,1
USB-236_PI507471,1
USB-238_PI507480,2
USB-240_PI514671,1
USB-241_PI518727,2
USB-242_PI532463B,NA
USB-245_PI538386A,NA
USB-248_PI542972,2
USB-249_PI548162,NA
USB-250_PI548169,NA
USB-251_PI548178,2
USB-252_PI548198,1
USB-253_PI548200,1
USB-254_PI548256,2
USB-255_PI548336,1
USB-256_PI548356,2
USB-257_PI548359,1
USB-258_PI548383,1
USB-259_PI548400,1
USB-260_PI548411,1
USB-261_PI548427,1
USB-262_PI548473,2
USB-263_PI548474,1
USB-264_PI548479,1
USB-265_PI548521,1
USB-266_PI548524,1
USB-268_PI548571,1
USB-269_PI548572,1
USB-270_PI548582,1
USB-271_PI548619,1
USB-272_PI548633,1
USB-274_PI548696,2
USB-276_PI548978,2
USB-277_PI549017,1
USB-278_PI549021A,2
USB-279_PI549028,2
USB-281_PI549040,1
USB-282_PI556511,1
USB-283_PI561318A,1
USB-284_PI561371,1
USB-285_PI561387,2
USB-286_PI561389B,1
USB-287_PI561701,2
USB-290_PI567074B,NA
USB-291_PI567173,1
USB-293_PI567225,1
USB-294_PI567226,2
USB-295_PI567231,1
USB-296_PI567238,1
USB-297_PI567262A,NA
USB-298_PI567307,1
USB-300_PI567343,1
USB-301_PI567346,2
USB-302_PI567352A,1
USB-303_PI567353,1
USB-304_PI567361,1
USB-305_PI567383,2
USB-306_PI567407,1
USB-307_PI567408,1
USB-308_PI567410B,1
USB-309_PI567415A,1
USB-310_PI567416,1
USB-311_PI567418A,1
USB-312_PI567428,1
USB-313_PI567435B,1
USB-314_PI567439,1
USB-315_PI567488A,1
USB-316_PI567489A,1
USB-317_PI567525,NA
USB-318_PI567532,NA
USB-319_PI567548,1
USB-320_PI567576,1
USB-322_PI567675,1
USB-323_PI567685,1
USB-324_PI567698A,NA
USB-325_PI567726,1
USB-326_PI567746,1
USB-327_PI567780B,NA
USB-328_PI567782,1
USB-330_PI574477,1
USB-331_PI578375B,1
USB-332_PI578412,1
USB-333_PI578493,1
USB-334_PI578499A,2
USB-335_PI578503,1
USB-336_PI578504,2
USB-338_PI587588A,1
USB-339_PI587588B,2
USB-341_PI587712B,2
USB-342_PI587804,1
USB-343_PI587811A,1
USB-345_PI592937,1
USB-346_PI592940,1
USB-347_PI592952,2
USB-348_PI592960,1
USB-351_PI593953,1
USB-353_PI594170B,2
USB-354_PI594456A,NA
USB-357_PI594880,2
USB-358_PI594922,2
USB-361_PI597464,2
USB-362_PI597471A,NA
USB-363_PI597478B,2
USB-364_PI598358,2
USB-366_PI602502B,1
USB-367_PI602993,1
USB-368_PI603162,1
USB-369_PI603290,1
USB-370_PI603345,NA
USB-371_PI603389,1
USB-372_PI603397,2
USB-373_PI603399,1
USB-374_PI603463,2
USB-375_PI603488,2
USB-376_PI603492,1
USB-377_PI603494,1
USB-378_PI603495B,1
USB-379_PI603497,2
USB-381_PI603526,1
USB-382_PI603549,1
USB-383_PI603555,1
USB-384_PI603556,1
USB-385_PI603559,1
USB-386_PI603675,NA
USB-387_PI603698J,2
USB-388_PI603722,1
USB-389_PI605765B,NA
USB-390_PI606374,NA
USB-392_PI612730,2
USB-393_PI612754,1
USB-395_PI628812,NA
USB-396_PI628913,NA
USB-398_PI628963,NA
USB-399_PI631123,NA
USB-400_PI632418,NA
USB-401_PI632650,NA
USB-402_PI639528B,NA
USB-403_PI639543,NA
USB-404_PI639550E,NA
USB-405_PI639559B,NA
USB-407_PI639570,NA
USB-409_PI322692,NA
USB-411_PI567788,2
